etID  | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk {GOLD} | Old North Tosk {GOLD} | Standard Albanian | Output {GOLD}
39     | #ˌɑrmˈɑːnioː# | *#ˌɑrmˈɑːɲoː# | *#ˌɑrmˈɑɲø# | *#ərmˈɑɲɛ# | *#ərmˈɑɲɛ# | *#ərmˈɑɲɛ# | *#hərmˈãːɲ# {GOLD: #aɾmˈɔ̃ɲ#} | *#həɾmˈəːɲ# {GOLD: ...} | ... {GOLD: ...} | ... | ... {GOLD: ...}
40     | #ˌɑrmˈɑːtɑ# | *#ˌɑrmˈɑːtɑ# | *#ˌɑrmˈɑtɑ# | *#ərmˈɑtɑ# | *#ərmˈɑtɑ# | *#ərmˈɑtɑ# | *#hərmˈatə# {GOLD: #r̩mˈatə#} | *#həɾmˈatə# {GOLD: >*} | *#həɾmˈatə# {GOLD: >*} | *#həɾmˈatə# | *#həɾmˈatə# {GOLD: #rəmˈatə#}
41     | #ˌɑrmˌissˈɑːrium# | *#ˌɑrmˌissˈɑːrju# | *#ˌɑrmˌessˈɑrju# | *#ərməssˈɛrju# | *#ərməʃʃˈɛrju# | *#ərməʃʃˈɛrju# | *#hərməʃʃˈɛːrj# {GOLD: #haɾməʃˈuo̯ɾ#} | *#həɾmbəʃʃˈɛːɾj# {GOLD: >*} | *#həɾmbəʃʃˈɛɾj# {GOLD: #haɾməʃˈua̯ɾ#} | *#həɾmbət͡ʃʃˈɛɾj# | *#həɾmbət͡ʃʃˈɛɾj# {GOLD: #hamʃˈɔɾ#}
42     | #ˌɑrrˌiːwˈɑːnioː# | *#ˌɑrːˌiːˈɑːɲoː# | *#ˌɑrːˌiˈɑɲø# | *#rːəˈɑɲɛ# | *#rːəˈɑɲɛ# | *#rːəˈɑɲɛ# | *#rːˈãːɲ# {GOLD: #ɦarˈĩːɲ#} | *#rˈəːɲ# {GOLD: >*} | *#rˈəɲ# {GOLD: >*} | *#rˈəɲ# | *#rˈəɲ# {GOLD: #arˈij#}
43     | #ˈɑrkum# | *#ˈɑrku# | *#ˈɑrku# | *#ˈɑrku# | *#ˈɑrku# | *#ˈɑrku# | *#hˈaːrk# {GOLD: #ɦˈaɾk#} | *#hˈaːɾk# {GOLD: >*} | *#hˈaɾk# {GOLD: >*} | *#hˈaɾk# | *#hˈaɾk# {GOLD: #ˈaɾk#}
44     | #ˈɑrkɑm# | *#ˈɑrkɑ# | *#ˈɑrkɑ# | *#ˈɑrkɑ# | *#ˈɑrkɑ# | *#ˈɑrkɑ# | *#hˈaːrkə# {GOLD: >*} | *#hˈaːɾkə# {GOLD: >*} | *#hˈaɾkə# {GOLD: >*} | *#hˈaɾkə# | *#hˈaɾkə# {GOLD: #ˈaɾkə#}
45     | #ˈɑsklɑ# | *#ˈɑsklɑ# | *#ˈɑsklɑ# | *#ˈɑsklɑ# | *#ˈɑʃklɑ# | *#ˈɑʃklɑ# | *#hˈaːʃkʎə# {GOLD: #ˈaʃkl̩#} | *#hˈaːʃkʎə# {GOLD: >*} | *#hˈaʃcə# {GOLD: #ˈaʃklə#} | *#hˈat͡ʃcə# | *#hˈat͡ʃt͡ʃə# {GOLD: #ˈaʃkəl#}
46     | #ˌɑspˈɑrɑɡum# | *#ˌɑspˈɑrəɡu# | *#ˌɑspˈɑrɡu# | *#spˈɑrɡu# | *#ʃpˈɑrɡu# | *#ʃpˈɑrɡu# | *#ʃpˈaːrɡ# {GOLD: >*} | *#ʃpˈaːɾɡ# {GOLD: >*} | *#ʃpˈaɾɡ# {GOLD: >*} | *#t͡ʃpˈaɾɡ# | *#t͡ʃpˈaɾɡ# {GOLD: #ʃpˈaɾɡ#}
47     | #ˈɑsper# | *#ˈɑspər# | *#ˈɑspr# | *#ˈɑspr# | *#ˈɑʃpr# | *#ˈɑʃpr# | *#hˈaːʃpr# {GOLD: >*} | *#hˈaːʃpɾ# {GOLD: >*} | *#hˈaʃpɾ# {GOLD: >*} | *#hˈat͡ʃpɾ# | *#hˈat͡ʃpɾ# {GOLD: #ˈaʃpəɾ#}
48     | #ˌɑːwˈentum# | *#ˌɑːˈentu# | *#ˌɑˈɛntu# | *#jˈɛntu# | *#jˈɛndu# | *#jˈɛndu# | *#jˈɛ̃ːnd# {GOLD: #vˈɛ̃nt#} | *#jˈɛ̃ːnd# {GOLD: >*} | *#jˈɛnd# {GOLD: >*} | *#jˈɛnd# | *#jˈɛn# {GOLD: #vˈɛnd#}
