etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk {GOLD} | Old North Tosk {GOLD} | Standard Albanian | Output {GOLD}
534    | ... | ... | ... | ... | ... | ... | ... | *#ʃˈɑkɑ# | *#ʃˈɑkɑ# | *#ʃˈakə# {GOLD: >*} | *#ʃˈakə# {GOLD: >*} | *#ʃˈakə# {GOLD: >*} | *#ʃˈakə# | *#ʃˈakə# {GOLD: #ʃˈakə#}
535    | ... | ... | ... | ... | *#sˈɑkkəlːu# | *#sˈɑkklːu# | *#sˈɑkklːu# | *#ʃˈɑkklːu# | *#ʃˈɑkklːu# | *#ʃˈakklː# {GOLD: >*} | *#ʃˈakklˠ# {GOLD: >*} | *#ʃˈakklˠ# {GOLD: >*} | *#ʃˈakklˠ# | *#ʃˈakklˠ# {GOLD: #ʃˈakulˠ#}
536    | ... | ... | ... | ... | *#sˈɑɡu# | *#sˈɑɡu# | *#sˈɑɡu# | *#ʃˈɑɡu# | *#ʃˈɑɡu# | *#ʃˈaɡ# {GOLD: >*} | *#ʃˈaɡ# {GOLD: >*} | *#ʃˈaɡ# {GOLD: >*} | *#ʃˈaɡ# | *#ʃˈaɡ# {GOLD: #ʃˈaɡ#}
537    | ... | ... | ... | ... | *#sˈelɑ# | *#sˈɛlɑ# | *#sjˈɛlɑ# | *#ʃjˈɛlɑ# | *#ʃjˈɛlɑ# | *#ʃjˈɛːlə# {GOLD: >*} | *#ʃjˈɛːlə# {GOLD: >*} | *#ʃjˈɛlə# {GOLD: >*} | *#ʃjˈɛlə# | *#ʃjˈɛlə# {GOLD: #ʃˈalə#}
538    | ... | ... | ... | ... | ... | ... | ... | *#ʃˈɒrɑ# | *#ʃˈɒrɑ# | *#ʃˈaːrə# {GOLD: >*} | *#ʃˈaːɾə# {GOLD: >*} | *#ʃˈaɾə# {GOLD: >*} | *#ʃˈaɾə# | *#ʃˈaɾə# {GOLD: #ʃˈaɾə#}
539    | ... | ... | ... | *#sˈɑrkon# | *#sˈɑrko# | *#sˈɑrko# | *#sˈɑrkɔ# | *#ʃˈɑrkɔ# | *#ʃˈɑrkɔ# | *#ʃˈaːrk# {GOLD: >*} | *#ʃˈaːɾk# {GOLD: >*} | *#ʃˈaɾk# {GOLD: >*} | *#ʃˈaɾk# | *#ʃˈaɾk# {GOLD: #ʃˈaɾk#}
540    | ... | ... | ... | ... | *#sˈɑrəkɑ# | *#sˈɑrkɑ# | *#sˈɑrkɑ# | *#ʃˈɑrkɑ# | *#ʃˈɑrkɑ# | *#ʃˈaːrkə# {GOLD: >*} | *#ʃˈaːɾkə# {GOLD: >*} | *#ʃˈaɾkə# {GOLD: >*} | *#ʃˈaɾkə# | *#ʃˈaɾkə# {GOLD: #ʃˈaɾkə#}
541    | ... | ... | ... | ... | ... | ... | ... | *#ʃˈɒrkɑ# | *#ʃˈɒrkɑ# | *#ʃˈaːrkə# {GOLD: >*} | *#ʃˈaːɾkə# {GOLD: >*} | *#ʃˈaɾkə# {GOLD: >*} | *#ʃˈaɾkə# | *#ʃˈaɾkə# {GOLD: #ʃˈaɾkə#}
542    | ... | ... | ... | ... | *#sˈerːɑ# | *#sˈɛrːɑ# | *#sjˈɛrːɑ# | *#ʃjˈɛrːɑ# | *#ʃjˈɛrːɑ# | *#ʃjˈɛːrːə# {GOLD: >*} | *#ʃjˈɛːrə# {GOLD: >*} | *#ʃjˈɛrə# {GOLD: >*} | *#ʃjˈɛrə# | *#ʃjˈɛrə# {GOLD: #ʃˈarə#}
543    | ... | ... | ... | ... | *#sˈɑpu# | *#sˈɑpu# | *#sˈɑpu# | *#ʃˈɑpu# | *#ʃˈɑpu# | *#ʃˈap# {GOLD: >*} | *#ʃˈap# {GOLD: >*} | *#ʃˈap# {GOLD: >*} | *#ʃˈap# | *#ʃˈap# {GOLD: #ʃˈap#}
544    | ... | ... | ... | ... | ... | ... | ... | *#ʃˈɑpʊ# | *#ʃˈɑpʊ# | *#ʃˈap# {GOLD: >*} | *#ʃˈap# {GOLD: >*} | *#ʃˈap# {GOLD: >*} | *#ʃˈap# | *#ʃˈap# {GOLD: #ʃˈap#}
545    | ... | ... | ... | ... | *#sˌɑkrˈɑːɲoː# | *#sˌɑkrˈɑɲø# | *#səkrˈɑɲɛ# | *#ʃəkrˈɑɲɛ# | *#ʃəkrˈɑɲɛ# | *#ʃəkrˈãːɲ# {GOLD: #ʃəkɾˈɔ̃ɲ#} | *#ʃəkɾˈəːɲ# {GOLD: >*} | *#ʃəkɾˈəɲ# {GOLD: >*} | *#ʃəkɾˈəɲ# | *#ʃəkɾˈəɲ# {GOLD: #ʃəkɾˈɔj#}
546    | ... | ... | ... | ... | *#sˌɑʎˈiːɲoː# | *#sˌɑʎˈiɲø# | *#səʎˈiɲɛ# | *#ʃəʎˈiɲɛ# | *#ʃəʎˈiɲɛ# | *#ʃəʎˈĩːɲ# {GOLD: >*} | *#ʃəʎˈĩːɲ# {GOLD: >*} | *#ʃəjˈiɲ# {GOLD: >*} | *#ʃəjˈiɲ# | *#ʃəjˈiɲ# {GOLD: #ʃəlˠˈij#}
547    | ... | ... | ... | ... | *#sˌɑʎˈiːnɑ# | *#sˌɑʎˈinɑ# | *#səʎˈinɑ# | *#ʃəʎˈinɑ# | *#ʃəʎˈinɑ# | *#ʃəʎˈĩːnə# {GOLD: #ʃəlˠˈĩːɾ̃ə#} | *#ʃəʎˈĩːɾə# {GOLD: >*} | *#ʃəjˈiɾə# {GOLD: >*} | *#ʃəjˈiɾə# | *#ʃəjˈiɾə# {GOLD: #ʃəlˠˈiɾə#}
548    | ... | ... | ... | ... | *#sˌɑɲiɲˈɑːtɑ# | *#sˌɑɲeɲˈɑtɑ# | *#səɲəɲˈɑtɑ# | *#ʃəɲəɲˈɑtɑ# | *#ʃəɲəɲˈɑtɑ# | *#ʃə̃ɲə̃ɲˈatə# {GOLD: >*} | *#ʃə̃ɲə̃ɲˈatə# {GOLD: >*} | *#ʃəɲəɲˈatə# {GOLD: >*} | *#ʃəɲəɲˈatə# | *#ʃəɲəɲˈatə# {GOLD: #ʃəɲɟˈɛtə#}
549    | ... | ... | ... | ... | ... | ... | *#sənktəəndrˈɛːɑː# | *#ʃənftəəndrˈɛːɑː# | *#ʃənftəəndrˈɛːɑː# | *#ʃə̃ftəə̃ndrˈɛːaː# {GOLD: >*} | *#ʃə̃ftəə̃ndɾˈɛːaː# {GOLD: >*} | *#ʃəftəəndɾˈɛa# {GOLD: >*} | *#ʃəftəəndɾˈɛa# | *#ʃəftəənɾˈɛa# {GOLD: #ʃənəndɾˈɛ#}
550    | ... | ... | ... | ... | *#sˌiɲˈɑːɲoː# | *#sˌeɲˈɑɲø# | *#səɲˈɑɲɛ# | *#ʃəɲˈɑɲɛ# | *#ʃəɲˈɑɲɛ# | *#ʃə̃ɲˈãːɲ# {GOLD: >*} | *#ʃə̃ɲˈəːɲ# {GOLD: >*} | *#ʃəɲˈəɲ# {GOLD: >*} | *#ʃəɲˈəɲ# | *#ʃəɲˈəɲ# {GOLD: #ʃənˈɔj#}
