etID  | Middle Proto-Albanian | Late Proto-Albanian |  Proto-Tosk |  Old Northern Tosk Albanian | Output [REFERENCE]
448    | #klˌɑwsˈuːrɑ# | #kləʃˈyːrə# | #kʎəʃˈyːɾə# | #kəʃˈyɾə# | #kəʃˈyɾə# {GOLD: #kəlt͡sˈyɾə#}
449    | #klˌɑwsˈuːrɑ# | #kləʃˈyːrə# | #kʎəʃˈyːɾə# | #kəʃˈyɾə# | #kəʃˈyɾə# {GOLD: #kəʃˈyɾə#}
450    | #klˌeːmˈeːnte# | #kləmˈɛːnd# | #kʎə̃mˈɛ̃ːnd# | #cəmˈɛnd# | #cəmˈɛnd# {GOLD: #kɛlmˈɛnd#}
451    | #klˌumˈostru# | #kləmˈɔːʃtr# | #kʎə̃mˈɔːʃtɾ# | #cəmˈɔʃtɾ# | #cəmˈɔʃtɾ# {GOLD: #cˌymˈəʃt#}
452    | #kˌoeːmptˈɑːɲoː# | #kəəmftˈɔːɲ# | #kəə̃mftˈɔ̃ːɲ# | #kəəmftˈɔɲ# | #kəəmftˈɔj# {GOLD: #cəmtˈɔj#}
453    | #kˌoːɡitˈɑːɲoː# | #kəjətˈɔːɲ# | #kəjətˈɔ̃ːɲ# | #kəjətˈɔɲ# | #kəjətˈɔj# {GOLD: #kujtˈɔj#}
454    | #kˌuŋnˈɑːtu# | #kənːˈat# | #kə̃nˈat# | #kənˈat# | #kənˈat# {GOLD: #kunˈat#}
455    | #kˌoheːrˈeːde# | #kəərˈi# | #kəəɾˈi# | #kəəɾˈi# | #kəəɾˈi# {GOLD: #kujɾˈi#}
456    | #kˈiːɲoː# | #cˈiːɲ# | #cˈĩːɲ# | #cˈiɲ# | #cˈij# {GOLD: #cˈij#}
457    | #kˌulˠˈɑːɲoː# | #kəlˠˈɔːɲ# | #kəlˠˈɔ̃ːɲ# | #kəlˠˈɔɲ# | #kəlˠˈɔj# {GOLD: #kulˠˈɔj#}
458    | #kˌulˈɑːre# | #kəlˈie̯r# | #kəlˈie̯ɾ# | #kəlˈie̯ɾ# | #kəlˈie̯ɾ# {GOLD: #kulˈaɾ#}
459    | #kˌuluktjˈɑːɲoː# | #kələft͡ʃˈɔːɲ# | #kələfsˈɔ̃ːɲ# | #kələfsˈɔɲ# | #kələfsˈɔj# {GOLD: #ɡult͡ʃˈɔj#}
460    | #kˌulektˈɑːɲoː# | #kələjtˈɔːɲ# | #kələjtˈɔ̃ːɲ# | #kələjtˈɔɲ# | #kələjtˈɔj# {GOLD: #ɡultˈɔj#}
461    | #kˌuliːmitˈɑːɲoː# | #kələmtˈɔːɲ# | #kələ̃mtˈɔ̃ːɲ# | #kələmtˈɔɲ# | #kələmtˈɔj# {GOLD: #ɟəmtˈɔj#}
462    | #kˌulˠˈostru# | #kəlˠˈɔːʃtr# | #kəlˠˈɔːʃtɾ# | #kəlˠˈɔʃtɾ# | #kəlˠˈɔʃtɾ# {GOLD: #kulˠˈɔʃtəɾ#}
463    | #kˌulˠumbinˈiːɑ# | #kəlˠəmbənˈiə# | #kəlˠə̃mbə̃ɾˈiː# | #kəlˠəmbəɾˈi# | #kəlˠəmbəɾˈi# {GOLD: #kulˠumbɾˈi#}
464    | #kˌulˠumnˈɑːtjɑ# | #kəlˠənːˈɛːt͡ʃə# | #kəlˠə̃nˈɛːsə# | #kəlˠənˈɛsə# | #kəlˠənˈɛsə# {GOLD: #kulˠumˈɛsə#}
465    | #kˈunkɑ# | #kˈuːnɡə# | #kˈũːnɡə# | #kˈunɡə# | #kˈunɡə# {GOLD: #kˈuŋɡə#}
466    | #kˈokkɑ# | #kˈɔkkə# | #kˈɔkkə# | #kˈɔkkə# | #kˈɔkkə# {GOLD: #kˈɔkə#}
467    | #kˈokkju# | #cˈɛkc# | #cˈɛkc# | #cˈɛkc# | #cˈɛkc# {GOLD: #kˈuc#}
468    | #kˈoku# | #kˈɔk# | #kˈɔk# | #kˈɔk# | #kˈɔk# {GOLD: #kˈɔk#}
469    | #kˈoksɑ# | #kˈɔːfʃə# | #kˈɔːfʃə# | #kˈɔfʃə# | #kˈɔfʃə# {GOLD: #kˈɔfʃə#}
470    | #kˌoktˈorju# | #kəftˈɛːrj# | #kəftˈɛːɾj# | #kəftˈɛɾj# | #kəftˈɛɾj# {GOLD: #kɔftˈɔɾ#}
471    | #kˈomɑ# | #kˈɔːmə# | #kˈɔ̃ːmbə# | #kˈɔmbə# | #kˈɔmbə# {GOLD: #kˈɔmə#}
472    | #kˌummˈerkju# | #kəmːˈɛːrc# | #kə̃mˈɛːɾc# | #kəmˈɛɾc# | #kəmˈɛɾc# {GOLD: #kumˈɛɾc#}
473    | #kˌummunikˈɑːɲoː# | #kənːɡˈɔːɲ# | #kə̃nɡˈɔ̃ːɲ# | #kənɡˈɔɲ# | #kənɡˈɔj# {GOLD: #kˌuŋɡˈɔj#}
474    | #kˈumpɑtər# | #kˈuːmbatr# | #kˈũːmbatɾ# | #kˈumbatɾ# | #kˈumbatɾ# {GOLD: #kˈumtəɾ#}
475    | #kˌumputˈɑːɲoː# | #kəmbətˈɔːɲ# | #kə̃mbətˈɔ̃ːɲ# | #kəmbətˈɔɲ# | #kəmbətˈɔj# {GOLD: #kuptˈɔj#}
476    | #kˌumputˈɑːɲoː# | #kəmbətˈɔːɲ# | #kə̃mbətˈɔ̃ːɲ# | #kəmbətˈɔɲ# | #kəmbətˈɔj# {GOLD: #kumtˈɔj#}
477    | #kˈumpətu# | #kˈuːmft# | #kˈũːmft# | #kˈumft# | #kˈumft# {GOLD: #kˈumt#}
478    | #kˌuːfˈiːɲu# | #kəfˈiːɲ# | #kəfˈĩːɲ# | #kəfˈiɲ# | #kəfˈij# {GOLD: #kufˈi#}
479    | #kˌuːsˈilu# | #fʃˈɛːl# | #fʃˈɛːl# | #fʃˈɛl# | #fʃˈɛl# {GOLD: #kəʃˈilˠ#}
480    | #kˌuːskriptˈɑːɲoː# | #fʃkrəftˈɔːɲ# | #fʃkɾəftˈɔ̃ːɲ# | #fʃkɾəftˈɔɲ# | #fʃkɾəftˈɔj# {GOLD: #kuʃtɾˈɔj#}
481    | #kˌuːsobrˈiːnu# | #fʃərˈiːn# | #fʃəɾˈĩːn# | #fʃəɾˈin# | #fʃəɾˈin# {GOLD: #kuʃəɾˈi#}
482    | #kˈuːsəkər# | #cˈyːʃkr# | #cˈyːʃkɾ# | #kˈyʃkɾ# | #cˈyʃkɾ# {GOLD: #kɾˈuʃk#}
483    | #kˌuːstˈɑːɲoː# | #fʃtˈɔːɲ# | #fʃtˈɔ̃ːɲ# | #fʃtˈɔɲ# | #fʃtˈɔj# {GOLD: #kuʃtˈɔj#}
484    | #kˈuːsəle# | #cˈyːʃl# | #cˈyːʒl# | #cˈyʒl# | #cˈyʒl# {GOLD: #kˈuʃulˠ#}
485    | #kˌuntentˈɑːɲoː# | #kəntəndˈɔːɲ# | #kə̃ntə̃ndˈɔ̃ːɲ# | #kəntəndˈɔɲ# | #kəntəndˈɔj# {GOLD: #kutəndˈɔj#}
486    | #kˈuntrɑː# | #kˈuːndrə# | #kˈũːndɾə# | #kˈundɾə# | #kˈundɾə# {GOLD: #kˈundəɾ#}
487    | #kˌuntrˈɑːrju# | #kəndrˈɛːrj# | #kə̃ndɾˈɛːɾj# | #kəndɾˈɛɾj# | #kəndɾˈɛɾj# {GOLD: #kundɾˈua̯lˠ#}
488    | #kˌuntrɑːstˈɑːrju# | #kəntrəʃtˈɛːrj# | #kə̃ntɾəʃtˈɛːɾj# | #kəntɾəʃtˈɛɾj# | #kəntɾəʃtˈɛɾj# {GOLD: #kundəɾʃtˈaɾ#}
489    | #kˌunˈukəlˠɑ# | #kənˈuklˠə# | #kə̃ɾˈuklˠə# | #kəɾˈuklˠə# | #kəɾˈuklˠə# {GOLD: #konˈuɾkə#}
490    | #kˌunwˌentˈɑːɲoː# | #kənwəndˈɔːɲ# | #kə̃nwə̃ndˈɔ̃ːɲ# | #kənwəndˈɔɲ# | #kənwəndˈɔj# {GOLD: #kuvɛndˈɔj#}
491    | #kˌunwˈentu# | #kənwˈɛːnd# | #kə̃nwˈɛ̃ːnd# | #kənwˈɛnd# | #kənwˈɛnd# {GOLD: #kuvˈɛnd#}
492    | #kˌoopertˈuːrɑ# | #kəəpərtˈyːrə# | #kəəpəɾtˈyːɾə# | #kəəpəɾtˈyɾə# | #kəəpəɾtˈyɾə# {GOLD: #kyptˈyɾə#}
493    | #kˈurbəlˠɑ# | #kˈuːrblˠə# | #kˈuːɾblˠə# | #kˈuɾblˠə# | #kˈuɾblˠə# {GOLD: #kˈɔɾbulˠə#}
494    | #kˈordɑ# | #kˈɔːrðə# | #kˈɔːɾðə# | #kˈɔɾðə# | #kˈɔɾðə# {GOLD: #kˈɔɾðə#}
495    | #kˈorju# | #cˈɛːrj# | #cˈɛːɾj# | #cˈɛɾj# | #cˈɛɾj# {GOLD: #kˈua̯#}
496    | #kˌurnˈikəlˠu# | #kərnˈɛklˠ# | #kərˈɛklˠ# | #kərˈɛklˠ# | #kərˈɛklˠ# {GOLD: #kɾɔɲɟˈilˠ#}
