etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg | Proto-Tosk | Old North Tosk | Output {GOLD}
83     | ... | ... | ... | *#lˈɑkʰɑnon# | *#lˈɑkʰɑnɔ# | *#lˈɑkɑno# | *#lˈakɑ̃ɾ̃o# | *#lˈakɐɾ̃ɔ# | *#lˈakɐɾ̃# | *#lˈakəɾ̃# | *#lˈakəɾ̃# | *#lˈakəɾ# | *#lˈakəɾ# {GOLD: #lˈakəɾ#}
84     | ... | ... | ... | *#lˈɑbrikʰon# | *#lˈɑbrɪkʰɔ# | *#lˈɑːrko# | *#lˈaːrko# | *#lˈaːɾkɔ# | *#lˈaːɾk# | *#lˈaːɾk# | *#lˈaːɾk# | *#lˈaɾk# | *#lˈaɾk# {GOLD: #lˈabɾik#}
85     | ... | ... | ... | ... | ... | *#ˌɛlemˈusinɑ# | *#lɪmˈusɑ̃ɾ̃a# | *#lə̃mˈuʃɐɾ̃a# | *#lə̃mˈuːʃɐɾ̃ə# | *#lə̃mˈuːʃəɾ̃ə# | *#lə̃mˈuːʃəɾ̃# | *#ləmˈuʃəɾ# | *#ləmˈuʃəɾ# {GOLD: #ləmˈɔʃtəɾ#}
86     | ... | ... | ... | *#ljˌekˈɑnjɛːn# | *#ljˌɛkˈɑnjɛː# | *#ʎˌɛkˈɑɲɛ# | *#ʎˌɛkˈeɲɪ# | *#ʎˌɛcˈẽɲɪ# | *#ʎˌɛcˈɛ̃ɲ# | *#lˌɛcˈɛ̃ɲ# | *#lˌɛcˈɛ̃ɲ# | *#lˌɛcˈɛɲ# | *#lɛcˈɛj# {GOLD: #licˈɛn#}
87     | ... | ... | ... | ... | ... | ... | ... | ... | *#lˌivˈaðɛ# | *#lˌivˈaðɛ# | *#lˌivˈaðɛ# | *#lˌivˈaðɛ# | *#livˈaðɛ# {GOLD: #livˈaðɛ#}
88     | ... | ... | ... | *#hjelɑiːwˈɒːniːoː# | *#hjɛlɑiwˈɒːnjɔ# | *#hjɛlɑˈiwoɲo# | *#hjɛlaˈiwoɲo# | *#hjɛləˈuə̯̃ɲɔ# | *#hjɛlˠˈuːõ̯ɲ# | *#hjɛlˠˈuːõ̯ɲ# | *#hjɛlˠˈuːã̯ɲ# | *#hjɛlˠˈua̯ɲ# | *#hjɛlˠˈua̯j# {GOLD: #lˈye̯j#}
89     | ... | ... | ... | *#lˈuːmɑ# | *#lˈuːmɑ# | *#lˈymɑ# | *#lˈyma# | *#lˈỹma# | *#lˈỹmə# | *#lˈỹmə# | *#lˈỹmə# | *#lˈymə# | *#lˈymə# {GOLD: #lˈym#}
90     | ... | ... | ... | ... | ... | *#lˈiβɑði# | *#lˈiwaðɪ# | *#lˈuə̯ðɪ# | *#lˈuo̯ð# | *#lˈuo̯ð# | *#lˈua̯ð# | *#lˈua̯ð# | *#lˈua̯ð# {GOLD: #lˈua̯ð#}
91     | ... | ... | ... | ... | ... | ... | ... | ... | *#rˈaːsə# | *#ɾˈaːsə# | *#ɾˈaːsə# | *#ɾˈasə# | *#ɾˈasə# {GOLD: #ɾˈasə#}
92     | ... | ... | ... | ... | ... | ... | ... | ... | *#rˈiɡə# | *#ɾˈiɡə# | *#ɾˈiɡə# | *#ɾˈiɡə# | *#ɾˈiɡə# {GOLD: #ɾˈiɡə#}
93     | ... | ... | ... | ... | ... | ... | ... | ... | *#rˈikɛ# | *#ɾˈikɛ# | *#ɾˈikɛ# | *#ɾˈikɛ# | *#ɾˈicɛ# {GOLD: #ɾˈicɛ#}
94     | ... | ... | ... | *#hjˌerjˈeːkjɛːn# | *#hjˌɛʎˈeːkjɛː# | *#hjˌɛʎˈekjɛ# | *#hˌiʎˈikjɛ# | *#hˌiʎˈicjɛ# | *#hˌiʎˈicɛ# | *#hˌiʎˈicɛ# | *#hˌiʎˈicɛ# | *#hˌijˈicɛ# | *#hijˈicɛ# {GOLD: #ɾˈicɛ#}
95     | ... | ... | ... | ... | ... | ... | ... | ... | *#rˈɔːzə# | *#ɾˈɔːzə# | *#ɾˈɔːzə# | *#ɾˈɔzə# | *#ɾˈɔzə# {GOLD: #ɾˈɔzə#}
96     | ... | ... | ... | ... | ... | ... | ... | ... | *#rˈuːsː# | *#ɾˈuːsː# | *#ɾˈuːsː# | *#ɾˈus# | *#ɾˈus# {GOLD: #ɾˈus#}
97     | ... | ... | ... | ... | ... | *#rːˈepin# | *#rːˈepɪn# | *#rːˈepɪ̃n# | *#rːˈɛp# | *#rˈɛp# | *#rˈɛp# | *#rˈɛp# | *#rˈɛp# {GOLD: #rˈɛp#}
98     | ... | ... | ... | ... | ... | *#rːˈoɣɑ# | *#rːˈoɣa# | *#rːˈɔɣa# | *#rːˈɔɡə# | *#rˈɔɡə# | *#rˈɔɡə# | *#rˈɔɡə# | *#rˈɔɡə# {GOLD: #rˈɔɡə#}
99     | ... | ... | ... | *#rɒːɡˈusso# | *#rɒɡˈʊssɔ# | *#rːoɡˈusso# | *#rːoɡˈusso# | *#rːɔɡˈuʃɔ# | *#rːɔɡˈuːʃ# | *#rɔɡˈuːʃ# | *#rɔɡˈuːʃ# | *#rɔɡˈuʃ# | *#rɔɡˈuʃ# {GOLD: #rˈuʃ#}
100    | ... | ... | ... | *#pˈɑwlɑ# | *#pˈɑwlɑ# | *#pˈɑwlɑ# | *#pˈaːla# | *#pˈaːla# | *#pˈaːlˠə# | *#pˈaːlˠə# | *#pˈaːlˠə# | *#pˈalˠə# | *#pˈalˠə# {GOLD: #pˈalˠə#}
101    | ... | ... | ... | *#pˌɑlˈɑmɑː# | *#pˌɑlˈɑmɑː# | *#pˌɑlˈɑmɑ# | *#pˌalˈama# | *#pəlˈãma# | *#pəlˠˈãmə# | *#pəlˠˈãmə# | *#pəlˠˈə̃mə# | *#pəlˠˈəmə# | *#pəlˠˈəmə# {GOLD: #pəlˠˈəmbə#}
102    | ... | ... | ... | ... | ... | *#prˌykˈijɑ# | *#prˌykˈija# | *#pɾˌycˈija# | *#pɾˌycˈiː# | *#pɾ̩cˈiː# | *#pɾ̩cˈiː# | *#pɾ̩cˈi# | *#pəɾcˈi# {GOLD: #pəɾcˈi#}
103    | ... | ... | ... | ... | ... | *#prˌøtoɡˈɛnnɛmɑ# | *#prˌøtoɡˈinnɪma# | *#pɾˌœtəɟˈĩnnma# | *#pɾˌɛtəɟˈĩmːə# | *#pɾ̩təɟˈĩmːə# | *#pɾ̩təɟˈĩmə# | *#pɾ̩təɟˈimə# | *#pəɾtəɟˈimə# {GOLD: #pəɾɟˈim#}
104    | ... | ... | ... | ... | ... | *#prˌinˈɑro# | *#prˌinˈaro# | *#pɾə̃ɾ̃ˈaɾɔ# | *#pɾə̃ɾ̃ˈaːɾ# | *#pɾə̃ɾ̃ˈaːɾ# | *#pɾə̃ɾ̃ˈaːɾ# | *#pɾəɾˈaɾ# | *#pɾəɾˈaɾ# {GOLD: #pəɾnˈaɾ#}
105    | ... | ... | ... | *#pjˌerˈɑɔːo# | *#pjˌɛrˈɑʊ̯ɔ# | *#pjˌɛrˈɑʊ̯o# | *#pjˌɛrˈaʊ̯o# | *#pjˌɛɾˈaʊ̯ɔ# | *#pjˌɛɾˈaʊ̯# | *#pjˌɛɾˈaʊ̯# | *#pjˌɛɾˈaʊ̯# | *#pjˌɛɾˈaʊ̯# | *#pjɛɾˈaʊ̯# {GOLD: #pərˈua̯#}
106    | ... | ... | ... | ... | ... | ... | ... | ... | *#pˌɛtˈaːvr# | *#pˌɛtˈaːvɾ̩# | *#pˌɛtˈaːvɾ̩# | *#pˌɛtˈavɾ̩# | *#pɛtˈavəɾ# {GOLD: #pɛtˈavəɾ#}
107    | ... | ... | ... | *#pjjˈɑlɑɡon# | *#pjjˈɑlɑɡɔ# | *#pjjˈɑlɑɡo# | *#pjˈelaɡo# | *#pjˈelɐɡɔ# | *#pjˈɛːlˠɐɡ# | *#pjˈɛːlˠəɡ# | *#pjˈɛːlˠəɡ# | *#pjˈɛlˠəɡ# | *#pjˈɛlˠɡ# {GOLD: #pˈɛlˠɡ#}
108    | ... | ... | ... | *#pjˈepɔːnɑ# | *#pjˈɛpɔnɑ# | *#pjˈɛponɑ# | *#pˈɛpɑ̃ɾ̃a# | *#pˈɛːpɐɾ̃a# | *#pˈie̯pɐɾ̃ə# | *#pjˈɛpəɾ̃ə# | *#pjˈɛpəɾ̃# | *#pjˈɛpəɾ# | *#pjˈɛpəɾ# {GOLD: #pjˈɛpəɾ#}
109    | ... | ... | ... | *#ˌɑpˌollonˈiːɑ# | *#ˌɑpˌʊllɔnˈiɑ# | *#ˌɑpˌulːonˈijɑ# | *#pˌulːonˈija# | *#pˌulːnˈija# | *#pˌulːnˈiː# | *#pˌulːˈiː# | *#pˌulːˈiː# | *#pˌulˈi# | *#pulˈi# {GOLD: #pɔjˈan#}
110    | ... | ... | ... | ... | ... | ... | ... | ... | *#plˈuo̯r# | *#plˈuo̯ɾ# | *#plˈua̯ɾ# | *#plˈua̯ɾ# | *#plˈua̯ɾ# {GOLD: #plˈua̯ɾ#}
111    | ... | ... | ... | *#pˌɑrjˈɛːliːon# | *#pˌɑʎˈᴂːljɔ# | *#pˌɑʎˈoʎo# | *#pˌaðjˈoʎo# | *#pəʎˈɔʎɔ# | *#pəʎˈɔːʎ# | *#pəʎˈɔːʎ# | *#pəʎˈɔːʎ# | *#pəjˈɔj# | *#pəjˈɔj# {GOLD: #pɾˈɛlˠ#}
112    | ... | ... | ... | *#prˈɑson# | *#prˈɑsɔ# | *#prˈɑso# | *#prˈaso# | *#pɾˈaʃɔ# | *#pɾˈaːʃ# | *#pɾˈaːʃ# | *#pɾˈaːʃ# | *#pɾˈaʃ# | *#pɾˈaʃ# {GOLD: #pɾˈɛʃ#}
113    | ... | ... | ... | *#brˈoːtɑkon# | *#brˈoːtɑkɔ# | *#brˈøtko# | *#brˈøtko# | *#bɾˈœtkɔ# | *#bɾˈɛtk# | *#bɾˈɛtk# | *#bɾˈɛtk# | *#bɾˈɛtk# | *#bɾˈɛtk# {GOLD: #bɾˈɛtk#}
114    | ... | ... | ... | *#brˈɑjiː# | *#brˈɑji# | *#brˈɑji# | *#brˈaji# | *#bɾˈaji# | *#bɾˈa# | *#bɾˈa# | *#bɾˈa# | *#bɾˈa# | *#bɾˈa# {GOLD: #bɾˈɛð#}
115    | ... | ... | ... | *#brˈukɑː# | *#brˈʊkɑː# | *#brˈukɑ# | *#brˈuka# | *#bɾˈuka# | *#bɾˈukə# | *#bɾˈukə# | *#bɾˈukə# | *#bɾˈukə# | *#bɾˈukə# {GOLD: #bɾˈukə#}
116    | ... | ... | ... | ... | ... | ... | ... | ... | *#fˌakjˈɔːlˠ# | *#fˌakjˈɔːlˠ# | *#fˌakjˈɔːlˠ# | *#fˌacˈɔlˠ# | *#facˈɔlˠ# {GOLD: #facˈɔlˠ#}
117    | ... | ... | ... | ... | ... | *#fˌɑkjˈolɑ# | *#fˌakˈøla# | *#fəcˈœla# | *#fcˈɛːlˠə# | *#fcˈɛːlˠə# | *#fcˈɛːlˠə# | *#fcˈɛlˠə# | *#fcˈɛlˠə# {GOLD: #fcˈɔlˠə#}
118    | ... | ... | ... | ... | ... | ... | ... | ... | *#flˌamˈuːr# | *#flˌamˈuːɾ# | *#flˌamˈuːɾ# | *#flˌamˈuɾ# | *#flamˈuɾ# {GOLD: #flamˈuɾ#}
119    | ... | ... | ... | ... | ... | ... | ... | ... | *#frˌand͡zˈɔːlˠə# | *#fɾˌand͡zˈɔːlˠə# | *#fɾˌand͡zˈɔːlˠə# | *#fɾˌand͡zˈɔlˠə# | *#fɾand͡zˈɔlˠə# {GOLD: #fɾand͡zˈɔlˠə#}
120    | ... | ... | ... | *#hˈoiːjɛː# | *#hˈɔijɛː# | *#hˈoijɛ# | *#hˈoijɛ# | *#hˈɔijɛ# | *#hˈɔː# | *#hˈɔː# | *#hˈɔː# | *#hˈɔ# | *#hˈɔ# {GOLD: #vˈaðə#}
121    | ... | ... | ... | *#hˈorɡon# | *#hˈɔrɡɔ# | *#hˈorɡo# | *#hˈorɡo# | *#hˈɔɾɡɔ# | *#hˈɔːɾɡ# | *#hˈɔːɾɡ# | *#hˈɔːɾɡ# | *#hˈɔɾɡ# | *#hˈɔɾɡ# {GOLD: #vˈaɾɡ#}
122    | ... | ... | ... | ... | ... | ... | ... | ... | *#vˌɛlˈɛnd͡zə# | *#vˌɛlˈɛnd͡zə# | *#vˌɛlˈɛnd͡zə# | *#vˌɛlˈɛnd͡zə# | *#vɛlˈɛnd͡zə# {GOLD: #vɛlˈɛnd͡zə#}
123    | ... | ... | ... | *#ˌɑwlˌɔːniːˈɒːton# | *#ˌɑwlˌʊnjˈɒːtɔ# | *#ˌɑwlˌuɲˈoto# | *#lˌuɲˈoto# | *#lˌũɲˈɔtɔ# | *#lˌũɲˈɔt# | *#lˌũɲˈɔt# | *#lˌũɲˈɔt# | *#lˌuɲˈɔt# | *#luɲˈɔt# {GOLD: #vlɔɲˈat#}
124    | ... | ... | ... | *#ˌɑwlˈɔːnɑ# | *#ˌɑwlˈɔːnɑ# | *#ˌɑwlˈonɑ# | *#lˈona# | *#lˈɔ̃ɾ̃a# | *#lˈɔ̃ɾ̃ə# | *#lˠˈɔ̃ɾ̃ə# | *#lˠˈɔ̃ɾ̃ə# | *#lˠˈɔɾə# | *#lˠˈɔɾə# {GOLD: #vlˈɔɾə#}
125    | ... | ... | ... | ... | ... | ... | ... | ... | *#mˌaɡˈiː# | *#mˌaɡˈiː# | *#mˌaɡˈiː# | *#mˌaɡˈi# | *#maɟˈi# {GOLD: #maɟˈi#}
126    | ... | ... | ... | ... | ... | ... | ... | ... | *#mˌanəʃˈakɛ# | *#mˌanəʃˈakɛ# | *#mˌanʃˈakɛ# | *#mˌanʃˈakɛ# | *#manʃˈacɛ# {GOLD: #manuʃˈacɛ#}
127    | ... | ... | ... | ... | ... | ... | ... | ... | *#mˌandˈiːlɛ# | *#mˌandˈiːlɛ# | *#mˌandˈiːlɛ# | *#mˌandˈilɛ# | *#mandˈilɛ# {GOLD: #mandˈilɛ#}
128    | ... | ... | ... | *#mˈɑrɑdriːon# | *#mˈɑrɑdrjɔ# | *#mˈɑrɑdrjo# | *#mˈararːjo# | *#mˈaɾɐrːjɔ# | *#mˈaːɾɐrːj# | *#mˈaːɾərj# | *#mˈaːɾərj# | *#mˈaɾərj# | *#mˈaɾərj# {GOLD: #marˈaj#}
129    | ... | ... | ... | *#mˈɑtjɛː# | *#mˈɑtjɛː# | *#mˈɑt͡ʃjɛ# | *#mˈat͡ʃɛ# | *#mˈasɛ# | *#mˈaːs# | *#mˈaːs# | *#mˈaːs# | *#mˈas# | *#mˈas# {GOLD: #mˈat#}
130    | ... | ... | ... | *#mˌɑlˈɑɡɑː# | *#mˌɑlˈɑɡɑː# | *#mˌɑlˈɑɡɑ# | *#mˌalˈaɡa# | *#məlˈaɡa# | *#məlˠˈaɡə# | *#məlˠˈaɡə# | *#məlˠˈaɡə# | *#məlˠˈaɡə# | *#məlˠˈaɡə# {GOLD: #məlˠˈaɡə#}
131    | ... | ... | ... | *#mˌɑstˈikʰiːnon# | *#mˌɑstˈɪkʰinɔ# | *#mˌɑstˈekino# | *#mɪstˈikɑ̃ɾ̃o# | *#mɪʃtˈikɐɾ̃ɔ# | *#məʃtˈikɐɾ̃# | *#məʃtˈikəɾ̃# | *#məʃtˈikəɾ̃# | *#məʃtˈikəɾ# | *#məʃtˈikəɾ# {GOLD: #məʃtˈɛkəɾ#}
132    | ... | ... | ... | *#mˌɑnˈiːɑ# | *#mˌɑnˈiɑ# | *#mˌɑnˈijɑ# | *#mˌanˈija# | *#mə̃ɾ̃ˈija# | *#mə̃ɾ̃ˈiː# | *#mə̃ɾ̃ˈiː# | *#mə̃ɾ̃ˈiː# | *#məɾˈi# | *#məɾˈi# {GOLD: #məɾˈi#}
133    | ... | ... | ... | *#mˈɑrɑtʰriːɑ# | *#mˈɑrɑtʰrjɑ# | *#mˈɑrɑtrjɑ# | *#mˈaratrja# | *#mˈaɾɐtɾja# | *#mˈaːɾɐtɾɛ# | *#mˈaːɾətɾ̩# | *#mˈaːɾətɾ̩# | *#mˈaɾətɾ̩# | *#mˈaɾtəɾ# {GOLD: #mərˈajə#}
134    | ... | ... | ... | *#mˈɑnɡɑnon# | *#mˈɑnɡɑnɔ# | *#mˈɑnɡɑno# | *#mˈanɡɑ̃ɾ̃o# | *#mˈãnɡɐɾ̃ɔ# | *#mˈãnɡɐɾ̃# | *#mˈãŋɡəɾ̃# | *#mˈə̃ŋɡəɾ̃# | *#mˈəŋɡəɾ# | *#mˈəŋɡəɾ# {GOLD: #mˈəŋɡəɾ#}
135    | ... | ... | ... | ... | ... | *#mˌɛtˈoxio# | *#mɪ̃tˈoxɪo# | *#mə̃ntˈɔxjɔ# | *#mə̃ndˈɔxj# | *#mə̃ndˈɔxj# | *#mə̃ndˈɔhj# | *#məndˈɔhj# | *#məndˈɔhj# {GOLD: #mɛtˈɛh#}
136    | ... | ... | ... | *#mˈitɑ# | *#mˈɪtɑ# | *#mˈetɑ# | *#mˈeta# | *#mˈeta# | *#mˈɛtə# | *#mˈɛtə# | *#mˈɛtə# | *#mˈɛtə# | *#mˈɛtə# {GOLD: #mjˈɛtə#}
137    | ... | ... | ... | *#mɒːkʰɑnˈɑː# | *#mɒkʰɑnˈɑː# | *#mokɑnˈɑ# | *#mokaɾ̃ˈa# | *#mɔkə̃ɾ̃ˈa# | *#mɔkə̃ɾ̃ˈa# | *#mɔɾ̃ˈa# | *#mɔɾ̃ˈa# | *#mɾˈa# | *#mɾˈa# {GOLD: #mˈɔkəɾ#}
138    | ... | ... | ... | *#mˈɒːlɑ# | *#mˈɒːlɑ# | *#mˈolɑ# | *#mˈola# | *#mˈɔla# | *#mˈɔːlˠə# | *#mˈɔːlˠə# | *#mˈɔːlˠə# | *#mˈɔlˠə# | *#mˈɔlˠə# {GOLD: #mˈɔlˠə#}
