etID  | Proto-Tosk | Old North Tosk | Output {GOLD}
121    | #kˌɔpˈit͡sɑ# | *#kˌɔpˈit͡sə# | *#kɔpˈit͡sə# {GOLD: #kɔpˈit͡sə#}
122    | #kˌɔpˈɨlə# | *#kˌɔpˈilə# | *#kɔpˈilə# {GOLD: #kɔpˈil#}
123    | #kˈɔprə# | *#kˈɔprə# | *#kˈɔprə# {GOLD: #kˈɔpəɾ#}
124    | #kˌɔlˈɨbɑ# | *#kˌɔlˈibə# | *#kɔlˈibə# {GOLD: #kɔlˈibɛ#}
125    | #kˈɔrɑ# | *#kˈɔrə# | *#kˈɔrə# {GOLD: #kˈɔɾə#}
126    | #kˌɔrˈitɪ# | *#kˌɔrˈitɪ# | *#kɔrˈitɪ# {GOLD: #kɔɾˈit#}
127    | #kˌɔrˈɨtɔ# | *#kˌɔrˈitə# | *#kɔrˈitə# {GOLD: #kɔɾˈitə#}
128    | #kˌɔrˈubɑ# | *#kˌɔrˈubə# | *#kɔrˈubə# {GOLD: #kɔɾˈubə#}
129    | #kˈɔsɑ# | *#kˈɔsə# | *#kˈɔsə# {GOLD: #kˈɔsə#}
130    | #kˌɔsˈitɪ# | *#kˌɔsˈitɪ# | *#kɔsˈitɪ# {GOLD: #kɔsˈit#}
131    | #kˌɔsˈɔrə# | *#kˌɔsˈɔrə# | *#kɔsˈɔrə# {GOLD: #kɔsˈɔɾɛ#}
132    | #kˈɔstɪ# | *#kˈɔstɪ# | *#kˈɔstɪ# {GOLD: #kˈɔt͡s#}
133    | #kˈɔstrɑ# | *#kˈɔstrə# | *#kˈɔstrə# {GOLD: #kˈɔstəɾ#}
134    | #kˈɔʃə# | *#kˈɔʃə# | *#kˈɔʃə# {GOLD: #kˈɔʃ#}
135    | #kˈɔtɪt͡sɪ# | *#kˈɔtɪt͡sɪ# | *#kˈɔtɪt͡sɪ# {GOLD: #kˈɔt͡sə#}
136    | #kˌɔβˈɑt͡ʃɪ# | *#kˌɔvˈat͡ʃɪ# | *#kɔvˈat͡ʃɪ# {GOLD: #kɔvˈat͡ʃ#}
137    | #kˈɔzilɪt͡sɑ# | *#kˈɔzilɪt͡sə# | *#kˈɔzilɪt͡sə# {GOLD: #kˈɔt͡sə#}
138    | #kˌɔʒˈuxə# | *#kˌɔʒˈuhə# | *#kɔʒˈuhə# {GOLD: #ɡɔʒˈup#}
139    | #ɡrˈiβɑ# | *#ɡrˈivə# | *#ɡrˈivə# {GOLD: #kɾˈifɛ#}
140    | #kˈut͡ʃɛ̃# | *#kˈut͡ʃɛ# | *#kˈut͡ʃɛ# {GOLD: #kˈut͡ʃ#}
141    | #kˈutɛ̃# | *#kˈutɛ# | *#kˈutɛ# {GOLD: #kˈut#}
142    | #kˌukˈɑtɪ# | *#kˌukˈatɪ# | *#kukˈatɪ# {GOLD: #kukˈat#}
143    | #kˈumə# | *#kˈumə# | *#kˈumə# {GOLD: #kˈum#}
144    | #kˈumɑ# | *#kˈumə# | *#kˈumə# {GOLD: #kˈumə#}
145    | #kˈupə# | *#kˈupə# | *#kˈupə# {GOLD: #kˈup#}
146    | #kˈurβɑ# | *#kˈurvə# | *#kˈurvə# {GOLD: #kˈuɾvə#}
147    | #lˌɑpˈuʃɑ# | *#lˌapˈuʃə# | *#lapˈuʃə# {GOLD: #lapˈuʃə#}
148    | #lˈæʎɑ# | *#lˈɛjə# | *#lˈɛjə# {GOLD: #lˈɛlə#}
149    | #lˈæsɑ# | *#lˈɛsə# | *#lˈɛsə# {GOLD: #lˈɛsə#}
150    | #lˈæxɑ# | *#lˈɛhə# | *#lˈɛhə# {GOLD: #lˈɛhə#}
151    | #lˌɛbɛtˈitɪ# | *#ləbətˈitɪ# | *#ləbətˈitɪ# {GOLD: #lɛbɛtˈit#}
152    | #lˌɛ̃dβɔɡˈɔnə# | *#lədvɔɡˈɔnə# | *#lədvɔɡˈɔnə# {GOLD: #likɔɟˈɔnə#}
153    | #lˈipɑ# | *#lˈipə# | *#lˈipə# {GOLD: #lˈipə#}
154    | #lˈɪstəkrə# | *#lˈɪstəkrə# | *#lˈɪstəkrə# {GOLD: #lˈɛskəɾ#}
155    | #lˌit͡ʃˈitɪ# | *#lət͡ʃˈitɪ# | *#lət͡ʃˈitɪ# {GOLD: #lɛt͡ʃˈit#}
156    | #lˈɔɡə# | *#lˈɔɡə# | *#lˈɔɡə# {GOLD: #lˈɔɡ#}
157    | #lˌɔmˈitɪ# | *#lˌɔmˈitɪ# | *#lɔmˈitɪ# {GOLD: #lˠɔmˈit#}
158    | #lˈɔskɑ# | *#lˈɔskə# | *#lˈɔskə# {GOLD: #lˠˈɔskə#}
159    | #lˌɔpˈɑtɑ# | *#lˌɔpˈatə# | *#lɔpˈatə# {GOLD: #lɔpˈatə#}
160    | #lˈɔzɑ# | *#lˈɔzə# | *#lˈɔzə# {GOLD: #lˈɔzɛ#}
161    | #lˈɔzɑ# | *#lˈɔzə# | *#lˈɔzə# {GOLD: #lˈɔzə#}
162    | #lˈuspɑ# | *#lˈuspə# | *#lˈuspə# {GOLD: #lˈuspə#}
163    | #lˌuʒˈiɑ# | *#lˌuʒˈiə# | *#luʒˈiə# {GOLD: #luʒˈi#}
164    | #ʎˌuxˈɑtɪ# | *#jˌuhˈatɪ# | *#juhˈatɪ# {GOLD: #luhˈat#}
165    | #mˈɑkə# | *#mˈakə# | *#mˈakə# {GOLD: #mˈak#}
166    | #mˈɑt͡sɑ# | *#mˈat͡sə# | *#mˈat͡sə# {GOLD: #mˈat͡sə#}
167    | #mˈɑt͡ʃɑ# | *#mˈat͡ʃə# | *#mˈat͡ʃə# {GOLD: #mˈat͡ʃə#}
168    | #mˌɑrˈænɑ# | *#mˌarˈɛnə# | *#marˈɛnə# {GOLD: #maɾˈɛnə#}
169    | #mˈɑtəkɑ# | *#mˈatəkə# | *#mˈatəkə# {GOLD: #mˈatkə#}
170    | #mˌɑxnˈitɪ# | *#mˌahnˈitɪ# | *#mahnˈitɪ# {GOLD: #mahnˈit#}
171    | #mˈɑzɪ# | *#mˈazɪ# | *#mˈazɪ# {GOLD: #mˈazə#}
172    | #mˈælʊ# | *#mˈɛlʊ# | *#mˈɛlʊ# {GOLD: #mˈɛlˠə#}
173    | #mˈærɑ# | *#mˈɛrə# | *#mˈɛrə# {GOLD: #mˈɛɾə#}
174    | #mˌərmərˈitɪ# | *#mərmərˈitɪ# | *#mərmərˈitɪ# {GOLD: #məɾməɾˈit#}
175    | #mˌərzˈitɪ# | *#mərzˈitɪ# | *#mərzˈitɪ# {GOLD: #məɾzˈit#}
176    | #mˈɨtɔ# | *#mˈitə# | *#mˈitə# {GOLD: #mˈitə#}
177    | #mˈɔlɪ# | *#mˈɔlɪ# | *#mˈɔlɪ# {GOLD: #mˈɔlə#}
178    | #mˌɔlˈit͡sɑ# | *#mˌɔlˈit͡sə# | *#mɔlˈit͡sə# {GOLD: #mɔlˈit͡sə#}
179    | #mˈɔrɑ# | *#mˈɔrə# | *#mˈɔrə# {GOLD: #mˈɔɾə#}
180    | #mˌɔrˈɑt͡ʃɪ# | *#mˌɔrˈat͡ʃɪ# | *#mɔrˈat͡ʃɪ# {GOLD: #mɔɾˈat͡ʃə#}
181    | #mˌɔrɪnˈit͡sɑ# | *#mˌɔrənˈit͡sə# | *#mɔrənˈit͡sə# {GOLD: #mɔɾnˈit͡sə#}
182    | #mˌɔrɔβˈinɑ# | *#mˌɔrɔvˈinə# | *#mɔrɔvˈinə# {GOLD: #mɔɾɔvˈinə#}
183    | #mˌɔrβˈit͡sɑ# | *#mˌɔrvˈit͡sə# | *#mɔrvˈit͡sə# {GOLD: #mɔɾɔvˈit͡sə#}
184    | #mˌɔtɔβˈidlɔ# | *#mˌɔtɔvˈidlə# | *#mɔtɔvˈidlə# {GOLD: #mɔtɔvˈilɛ#}
185    | #mˌʊʒˈɪnɪskɑ# | *#mˌʊʒˈɪnɪskə# | *#mʊʒˈɪnɪskə# {GOLD: #muʒˈənt͡skə#}
186    | #nˈæmə# | *#nˈɛmə# | *#nˈɛmə# {GOLD: #nˈɛm#}
187    | #nˈæmɪt͡sɪ# | *#nˈɛmɪt͡sɪ# | *#nˈɛmɪt͡sɪ# {GOLD: #mˈɛmɛt͡s#}
188    | #nˌɛpˈərtəkə# | *#npˈərtəkə# | *#npˈərtəkə# {GOLD: #nɛpˈəɾkə#}
189    | #nˌɛβˌærˈitɪ# | *#nəvərˈitɪ# | *#nəvərˈitɪ# {GOLD: #nɛvɛɾˈit#}
190    | #nˌɛβˈɔʎɑ# | *#nəvˈɔjə# | *#nəvˈɔjə# {GOLD: #nɛvˈɔjə#}
191    | #nˈɔβəkɑ# | *#nˈɔvəkə# | *#nˈɔvəkə# {GOLD: #nˈɔfkə#}
192    | #nˌɔʒˈikʊ# | *#nˌɔʒˈikʊ# | *#nɔʒˈikʊ# {GOLD: #nɔzˈikə#}
193    | #ɲˌuxˈɑtɪ# | *#ɲˌuhˈatɪ# | *#ɲuhˈatɪ# {GOLD: #ɲuhˈat#}
194    | #ˌɔbβˈɔrə# | *#ˌɔbvˈɔrə# | *#ɔbvˈɔrə# {GOLD: #ɔbˈɔr#}
195    | #ˌɔbəkˈɨtɑ# | *#ˌɔbəkˈitə# | *#ɔbəcˈitə# {GOLD: #ɔkˈitə#}
196    | #ˌɔbəpˈɪnəkɑ# | *#ˌɔbəpˈɪnkə# | *#ɔbəpˈɪnkə# {GOLD: #ɔpˈiŋɡə#}
197    | #ˌɔbərˈɔkə# | *#ˌɔbərˈɔkə# | *#ɔbərˈɔkə# {GOLD: #ɔɾˈɔk#}
198    | #ˈɔjiʃtɛ# | *#ˈɔjiʃtɛ# | *#ˈɔjiʃtɛ# {GOLD: #ˈɔʃtə#}
199    | #ˌɔtˈɑβɑ# | *#ˌɔtˈavə# | *#ɔtˈavə# {GOLD: #ɔtˈavə#}
200    | #pˌɑdˈitɪ# | *#pˌadˈitɪ# | *#padˈitɪ# {GOLD: #padˈit#}
201    | #pˌɑʃɪnˈikə# | *#pˌaʃənˈikə# | *#paʃənˈikə# {GOLD: #paʃnˈik#}
202    | #pˈɑtɑ# | *#pˈatə# | *#pˈatə# {GOLD: #pˈatə#}
203    | #pˈɛkə# | *#pˈɛkə# | *#pˈɛkə# {GOLD: #pˈɛk#}
204    | #pˌɛlˈɛnɑ# | *#pəlˈɛnə# | *#pəlˈɛnə# {GOLD: #pɛlˈɛnə#}
205    | #pˌɛlˈɨnə# | *#pəlˈinə# | *#pəlˈinə# {GOLD: #pɛlˈin#}
206    | #pˈɨrɪ# | *#pˈirɪ# | *#pˈirɪ# {GOLD: #pˈirə#}
207    | #pˌɨxˈɑtɪ# | *#pəhˈatɪ# | *#pəhˈatɪ# {GOLD: #pihˈat#}
208    | #pˌijɑβˈit͡sɑ# | *#pəjavˈit͡sə# | *#pəjavˈit͡sə# {GOLD: #pjavˈit͡sə#}
209    | #plˌɑʃˈit͡sɑ# | *#plˌaʃˈit͡sə# | *#plaʃˈit͡sə# {GOLD: #plˠaʃˈit͡sə#}
210    | #plˈɑzə# | *#plˈazə# | *#plˈazə# {GOLD: #plˠˈaz#}
211    | #plˌɛβɪnˈit͡sɑ# | *#pləvənˈit͡sə# | *#pləvənˈit͡sə# {GOLD: #plɛvˈit͡sə#}
212    | #plˌɨβˈɑtɪ# | *#pləvˈatɪ# | *#pləvˈatɪ# {GOLD: #plɛvˈat#}
